在旧社会里做买卖的都是想要发财,在旧社会做生意的人都希望发财
讲究投机倒把买空儿卖空儿,他们讲究投机取巧低买高卖
要不怎么有这么一句话呢,这也正应了那句俗话
无官不贪无商不奸,无官不贪无商不奸
就是在街面儿上一个做小买卖的,即便是街头一个做小买卖的人
他都想尽办法骗人,也会想尽办法骗人
久做小买卖的讲究抢先儿,那些做小买卖的讲究抢占先机
春秋四季,一年四季
什么东西先下来他先卖什么,什么东西先上市他们就先卖什么
到了春天,到了春天
他卖青菜,他们卖青菜
什么韭菜啊蒜苗啊豌豆啊样一样都刀尺得挺漂亮摆在蒲包里,比如韭菜蒜苗豌豆等等每一样都整理得特别整齐漂亮摆在铺开的草垫上
这么一吆喝,这个时候商贩开始吆喝
出来一位老太太买菜来啦,忽然有一位老太太前来买菜
卖菜的有韭菜没有,卖菜的有韭菜吗
有啊您哪,有啊您看您需要多少
怎么卖呀,怎么卖的
您买多少钱的吧,您先说打算买多少钱的吧
瞧,看
他不告诉人家多少钱一斤,他不告诉顾客每斤的价格
先问人家买多少钱的,而是先问顾客要买多少钱的
这个地方就要骗人啦,这个地方就开始骗人了
老太太一瞅,老太太一看
这韭菜还挺好,这韭菜还挺好
打算吃包饺子,打算包饺子
好吧那就你给我拿两毛钱的吧,给我来两毛钱的吧
卖菜的赶紧顺蒲包底下抽出一个纸条,卖菜的赶紧从草垫下面抽出一张纸条
打蒲包里拿出来三根儿韭菜来用纸条一裹得双手捧着递给老太太啦,从草垫里拿出三根韭菜用纸条一裹双手递给老太太
给您哪,给您
老太太一瞧,老太太一看
三根儿,只有三根
哟,哎呀
这是多少钱呀,这是多少钱啊
两毛的,两毛钱
老太太一愣,老太太一愣
嘶这是我说你这是卖人参哪,这是卖人参吗
老太太,老太太
这韭菜不是咱中国的,这韭菜可不是本地的
这是进口货,这是进口的
你想,您想啊
连过关带上税,过关加上税
就合十二块钱一斤,一斤要十二块钱
也就是您吃得起呀贵人吃贵物嘛,也就是您这样的贵人才吃得起贵人吃贵物嘛
老太太听他这么一说呀,老太太听他这么一说
也不好意思不要啦,也不好意思不要了
原本打算吃饺子,本来打算包饺子
这么一想,这么一想
得了吃面汤拿它做作料吧,算了煮面汤当调料用吧
两毛钱卖出三根儿韭菜去,两毛钱就卖出三根韭菜
您想他得赚多少钱哪,您想他能赚多少啊
在商会上做小买卖的,那些在市场上做小买卖的
还有一种卖山里红的,还有一种卖山里红的
到天津叫红果儿,在天津管它叫红果儿
他不论斤卖,他们不是按斤卖
