俗话说买的没有卖的精,俗话说买的人不如卖的人精明
这话真算得上至理名言呀,这句话真可以称得上是真理啊
不用我说,不用我说
在座的各位,在座的各位
哪个没有买东西被吃豆腐的经历,谁没有买东西被人占便宜的经历
什么,什么
吃豆腐是什么意思,吃豆腐是什么意思
被人沾了便宜呗,就是被人占了便宜
这是我刚学的时尚词,这是我刚学的一个时髦词汇
本来,本来
这商人取利天经地义,商人追求利润是天经地义的事
做买卖吗,做生意嘛
就为求个财,就是为了赚钱
可君子爱财你得取之有道呀,但是君子爱财要取之有道啊
现在很多买卖人不是想着怎么提高服务质量,现在很多商人不是想着怎么提高服务质量
诚信经营,诚信经营
而是靠搀杂使假,而是靠掺杂使假
短斤少两来取利,短斤少两来获取利润
这不,这不
前几天,前几天
我们邻居张大妈,我们邻居张大妈
在街上买了三斤苹果,在街上买了三斤苹果
搞了半天价才把一快五告成一块三,讲了半天价才把一块五讲到一块三
提回来用自家称一约,提回来用自家秤一称
两斤四两,两斤四两
白亏七毛八,白白亏了七毛八
气的张大娘高血压都犯了,气得张大娘高血压都犯了
还有一次,还有一次
我们单位小王姑娘,我们单位的小王姑娘
下班回家路上,下班回家路上
碰到一卖桔子的,碰到一个卖橘子的
一看那桔子不错,一看那橘子不错
就想买点,就想买点
经不住那小贩甜言蜜语,经不住那小贩的甜言蜜语
本来想买二斤的,本来想买二斤的
最后楞是给装了五斤,最后硬是给装了五斤
当然要搞价了,当然要讲价了
小贩要价每斤两块,小贩要价每斤两块钱
小王从一快五还到一快八,小王从一块五还到一块八
小贩还是不肯,小贩还是不肯
两人争来争去的,两人争来争去的
谁也不肯让步,谁也不肯让步
最后那小贩压底声音说,最后那小贩压低声音说
一块八也行,一块八也行
不过我得到那边卖菜的称上给您约去,不过我得到那边卖菜的秤上给您称去
大家好,大家好
知道为什么让我上来吗,知道为什么让我上来吗
因为刚刚某某说了,因为刚刚某某说了
舞台上的灯光有点暗,舞台上的灯光有点暗
让我上来加个灯泡,让我上来加个灯泡
其实以前我可不是这样的,其实以前我可不是这样的
原先咱的头上可是一片森林,原先我的头发很浓密
把头一甩,把头一甩
那头发都能啪啪抽脸的那种,头发都能抽到脸上
可咱就不行了,可是现在不行了
基本上属于那种脱单困难户,基本上属于那种单身困难户
但我也不甘心就这样,但我也不甘心就这样
大彻大悟孤独一生啊,大彻大悟孤独一生啊
我朋友小强主意多,我朋友小强主意多
他就跟我说啊,他就跟我说
哥,哥
别担心,别担心
没头发,没头发
咱可以戴假发啊,我们可以戴假发啊
做人,做人
一定要善于伪装,一定要善于伪装
俗话不是说,俗话不是说
不假唱的歌手不是好明星,不假唱的歌手不是好明星
我就是听了他的,我就是听了他的
买了一个假发套,买了一个假发套
刚戴好出门,刚戴好出门
正在路上蹬着自行车呢,正在路上骑自行车呢
也不知道哪来了一阵风,也不知道哪来了一阵风
嗡的一声,嗡的一声
就把假发给吹到天上了,就把假发给吹到天上了
露出了锃光瓦亮的大灯泡,露出了光秃秃的头
不过,不过
我倒是没什么事,我倒是没什么事
旁边一个老大爷,旁边一个老大爷
啪嚓就摔地上了,啪嚓就摔地上了
嘴里还说着,嘴里还说着
我滴亲娘啊,我的亲娘啊
这风还能剃头咧,这风还能剃头啊
回来以后,回来以后
我就跟他说这方法不行,我就跟他说这方法不行
我这以后出门再吓死几个,我这以后出门再吓死几个
光埋我都忙不过来啊,光埋我都忙不过来啊
再累死我,再累死我
换招吧,换招吧
哥,哥
没事,没事
咱可以瘦身塑形啊,咱可以瘦身塑形啊
一瘦遮百丑,一瘦遮百丑
一胖毁所有,一胖毁所有
俗话不是说,俗话不是说
不减肥的胖子不是好吃货嘛,不减肥的胖子不是好吃货嘛
于是,于是
我就走上,我就走上
与肥肉对抗的过程,与肥肉对抗的过程
我先控制饮食,我先控制饮食
饿了整整三天,饿了整整三天
再出来,再出来
眼睛都绿了,眼睛都绿了
看谁都像大饼,看谁都像大饼
看来不能节食,看来不能节食
还是得多运动,还是得多运动
报了个游泳健身馆,报了个游泳健身馆
后来连着去了四天,后来连着去了四天
不去了,不去了
实在是喝不动了,实在是喝不动了
嗨,嗨
我的经历就是一首歌啊,我的经历就是一首歌啊
天下稀奇古怪的问题特别多,天下稀奇古怪的问题特别多
我就碰到一个,我就碰到一个
我朋友那天问我,我朋友那天问我
你说,天底下什么动物离人最近,你说，天底下什么动物离人最近
什么动物离人最近,什么动物离人最近
我连想都没想,我连想都没想
脱口而出,脱口而出
当然是阿猫阿狗了,当然是猫狗了
你没见它们总围着人转吗,你没见它们总围着人转吗
他说,他说
听着好象对,听着好像对
但总觉得不十分贴切,但总觉得不十分贴切
我就问他,我就问他
